公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
辰安科技,2010-11-14,A轮,,人民币,,"同方创投,光谷烽火创投,中咨顺景,芜湖金财融资"
辰安科技,2005-11-24,天使轮,,人民币,,轩辕集团
东华软件,2020-01-10,IPO上市后,1440000000.0,人民币,1440000000.0,腾讯投资
东华软件,2018-05-28,IPO上市后,1266000000.0,人民币,1266000000.0,腾讯投资
东华软件,2006-08-01,IPO上市,313000000.0,人民币,313000000.0,
顶点软件,2017-05-22,IPO上市,401000000.0,人民币,401000000.0,
顶点软件,2015-06-23,A轮,,人民币,,金石投资
安妮股份,2008-05-16,IPO上市,273000000.0,人民币,273000000.0,
安妮股份,2007-04-09,A轮,15000000.0,人民币,15000000.0,同创伟业
先进数通,2016-09-13,IPO上市,332000000.0,人民币,332000000.0,
先进数通,2012-06-27,天使轮,,人民币,,中关村兴业
先进数通,2010-01-24,战略投资,,人民币,,握奇数据
万国数据,2022-02-22,IPO上市后,620000000.0,美元,3906000000.0,"红杉中国,ST Telemedia Global Data Centres,某亚洲主权财富基金"
万国数据,2020-11-02,IPO上市,12940000000.0,港元,10352000000.0,
万国数据,2020-06-23,IPO上市后,505000000.0,美元,3181500000.0,"高瓴投资,ST Telemedia Global Data Centres"
万国数据,2019-03-14,IPO上市后,150000000.0,美元,945000000.0,平安海外控股
万国数据,2016-11-03,IPO上市,,美元,,
万国数据,2008-09-01,C轮,45000000.0,美元,283500000.0,"软银中国资本,元禾控股,IFC国际金融公司,光大集团"
万国数据,2007-03-01,B轮,30000000.0,美元,189000000.0,"软银中国资本,IFC国际金融公司,光大集团"
万国数据,2003-01-01,A轮,18000000.0,美元,113400000.0,汉鼎亚太
三五互联科技,2010-02-11,IPO上市,459000000.0,人民币,459000000.0,
三五互联科技,,,,,,
任子行,2012-04-25,IPO上市,,人民币,,
任子行,2010-06-01,A轮,34800000.0,人民币,34800000.0,东方富海
派诺科技,2023-12-14,IPO上市,114999999.99999999,人民币,114999999.99999999,
派诺科技,2015-11-14,新三板定增,,人民币,,同系资本
派诺科技,2014-10-14,新三板,,人民币,,
派诺科技,2014-01-14,A轮,,人民币,,九鼎投资
用友,2022-01-25,IPO上市后,5298000000.0,人民币,5298000000.0,"高瓴投资,易方达基金,葛卫东,高毅资产"
用友,2001-05-18,IPO上市,917000000.0,人民币,917000000.0,
恒拓开源,2020-07-27,IPO上市,,人民币,,
恒拓开源,2015-12-07,新三板,,人民币,,
恒拓开源,2012-06-01,A轮,,人民币,,泰达科投
凌雄科技,2022-11-24,IPO上市,337000000.0,港元,269600000.0,
凌雄科技,2021-08-11,战略投资,,人民币,,联想创投
凌雄科技,2021-03-03,D+轮,,人民币,,"深圳高新投,明诚致慧"
凌雄科技,2020-07-14,D轮,,人民币,,"达晨财智,京东"
凌雄科技,2019-12-12,C轮,50000000.0,人民币,50000000.0,腾讯众创空间
凌雄科技,2019-05-16,B轮,,人民币,,"达晨财智,东方富海,前海长城基金,国中资本"
凌雄科技,2019-03-20,Pre-B轮,150000000.0,人民币,150000000.0,"达晨财智,前海长城基金"
凌雄科技,2018-12-26,A+轮,,人民币,,京东
凌雄科技,2018-05-18,A轮,,人民币,,"达晨财智,京东"
天润云,2022-06-30,IPO上市,256000000.0,港元,204800000.0,
天润云,2022-06-21,基石轮,181000000.0,港元,144800000.0,"声网Agora,Platinum Investment Management"
天润云,2018-11-29,退市,,人民币,,
天润云,2016-01-18,新三板,,人民币,,
天润云,2010-01-01,A轮,,美元,,宽带资本CBC
初灵信息,2011-08-03,IPO上市,250000000.0,人民币,250000000.0,
南京云创存储,2021-08-26,IPO上市,348000000.0,人民币,348000000.0,
南京云创存储,2015-06-11,A轮,60000000.0,人民币,60000000.0,通鼎互联
中望软件,2021-03-11,IPO上市,601000000.0,人民币,601000000.0,
中望软件,2019-10-16,战略投资,140000000.0,人民币,140000000.0,"达晨财智,毅达资本,粤科金融,越秀产业基金,粤财创投,航天科工资产,中国互联网投资基金"
中望软件,2018-12-06,战略投资,80000000.0,人民币,80000000.0,"达晨财智,航天科工资产"
中望软件,2018-08-28,退市,,人民币,,
中望软件,2017-05-26,新三板,,人民币,,
