公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
人瑞人才,2019-12-13,IPO上市,922000000.0000001,港元,737600000.0000001,
人瑞人才,2016-03-11,C轮,100000000.0,人民币,100000000.0,"Macquarie麦格理,基石资本"
人瑞人才,2014-04-24,B轮,,人民币,,"君联资本,Macquarie麦格理"
人瑞人才,2012-05-01,A轮,,人民币,,君联资本
金蝶软件,2023-12-11,IPO上市后,200000000.0,美元,1260000000.0,卡塔尔投资局QIA
金蝶软件,2017-03-27,IPO上市后,14000000.0,美元,88200000.0,"京东,涌金集团"
金蝶软件,2015-07-13,战略投资,58800000.0,人民币,58800000.0,太极股份
金蝶软件,2015-05-18,IPO上市后,171000000.0,美元,1077300000.0,京东
金蝶软件,2007-06-11,IPO上市后,8440000.0,美元,53172000.0,
金蝶软件,2001-02-15,IPO上市,,美元,,
金蝶软件,1999-11-03,B轮,2410000.0,美元,15183000.0,IDG资本
金蝶软件,1998-05-01,A轮,2400000.0,美元,15120000.0,IDG资本
极光,2018-07-27,IPO上市,200000000.0,美元,1260000000.0,
极光,2017-07-06,D轮,,美元,,富达投资Fidelity Investments
极光,2016-06-30,C轮,,美元,,"曼图资本Mandra Capital,TCL创投,复星锐正资本,Sinar Mas Group/金光集团,国海创新资本,汉鼎宇佑"
极光,2015-05-20,B轮,10000000.0,美元,63000000.0,"IDG资本,曼图资本Mandra Capital,复星锐正资本"
极光,2014-06-12,A轮,4000000.0,美元,25200000.0,IDG资本
立方控股,2023-11-02,IPO上市,112000000.00000001,人民币,112000000.00000001,
立方控股,2020-07-06,新三板定增,,人民币,,湖畔宏盛
立方控股,2016-02-18,新三板定增,141000000.0,人民币,141000000.0,
立方控股,2015-07-29,新三板,,人民币,,
立方控股,2015-05-25,A轮,,人民币,,湖畔山南资本
世纪互联,2023-12-29,IPO上市后,299000000.0,美元,1883700000.0,山高控股
世纪互联,2020-06-23,IPO上市后,150000000.0,美元,945000000.0,黑石集团Blackstone
世纪互联,2016-05-23,IPO上市后,388000000.0,美元,2444400000.0,荷塘创投
世纪互联,2014-12-01,IPO上市后,292000000.0,美元,1839600000.0,"淡马锡Temasek,小米集团,金山软件"
世纪互联,2011-04-21,IPO上市,,美元,,
世纪互联,2008-06-15,C轮,40000000.0,美元,252000000.0,"经纬创投,纪源资本"
世纪互联,2007-02-28,B轮,20000000.0,美元,126000000.0,IDG资本
世纪互联,2002-01-20,A轮,20000000.0,人民币,20000000.0,IDG资本
榕基软件,2018-09-30,IPO上市后,,人民币,,中国人寿
榕基软件,2010-09-15,IPO上市,961999999.9999999,人民币,961999999.9999999,
莱斯信息,2023-06-28,IPO上市,1033000000.0,人民币,1033000000.0,
工大高科,2021-06-28,IPO上市,187000000.0,人民币,187000000.0,
工大高科,2021-05-31,退市,,人民币,,
工大高科,2016-04-18,新三板定增,,人民币,,正奇投资
工大高科,2015-12-31,新三板定增,,人民币,,"国元股权,国元证券"
工大高科,2015-11-18,新三板,,人民币,,
Boss直聘,2022-12-22,IPO上市,,港元,,
Boss直聘,2021-06-11,IPO上市,911999999.9999999,美元,5745599999.999999,
Boss直聘,2019-11-28,E轮,,美元,,"腾讯投资,华兴新经济基金"
Boss直聘,2016-09-22,C轮,28000000.0,美元,176400000.0,"今日资本,策源创投,华映资本,顺为资本,高榕资本,和玉资本"
Boss直聘,2016-07-14,B轮,,美元,,"今日资本,顺为资本"
Boss直聘,2015-12-16,Pre-B轮,10000000.0,美元,63000000.0,众为资本
Boss直聘,2015-04-16,A+轮,,美元,,顺为资本
Boss直聘,2014-01-23,A轮,,美元,,"策源创投,顺为资本,和玉资本"
普联软件,2021-06-03,IPO上市,398000000.0,人民币,398000000.0,
北森,2023-04-13,IPO上市,155000000.0,港元,124000000.0,
北森,2021-05-11,F轮,260000000.0,美元,1638000000.0,"红杉中国,经纬创投,深创投,高盛(中国),富达投资Fidelity Investments,春华资本Primavera,元生资本,软银愿景基金"
北森,2018-10-23,E轮,100000000.0,美元,630000000.0,"红杉中国,经纬创投,元生资本"
北森,2018-04-28,退市,,人民币,,
北森,2017-06-01,新三板定增,200000000.0,人民币,200000000.0,"经纬创投,元生资本"
北森,2016-07-28,新三板,,人民币,,
北森,2015-04-28,C轮,110000000.00000001,人民币,110000000.00000001,"红杉中国,经纬创投,青宥仟和投资"
北森,2013-02-01,B轮,10000000.0,美元,63000000.0,"红杉中国,经纬创投"
北森,2010-08-01,A轮,10000000.0,人民币,10000000.0,"深创投,天创资本"
亚信安全,2022-02-09,IPO上市,1123000000.0,人民币,1123000000.0,
亚信安全,2020-07-29,战略投资,,人民币,,"深创投,华盖资本,中金公司,联新资本,尚颀资本,中金甲子,国投创新,上海国和投资,清控银杏创投,晨山资本,中金资本,国投创合,中国互联网投资基金,君度投资,优山资本,未来启创基金,中科院资本管理,屹唐华创"
亚信安全,2013-09-01,战略投资,,人民币,,亚信联创
金山办公,2019-11-18,IPO上市,4630000000.0,人民币,4630000000.0,
金山办公,2013-11-01,A轮,50000000.0,美元,315000000.0,"五源资本,纪源资本,顺为资本"
线上线下,2021-03-22,IPO上市,413999999.99999994,人民币,413999999.99999994,
线上线下,2017-06-29,A轮,,人民币,,"易简集团-易简资本,联成资产"
光环新网,2014-01-29,IPO上市,523000000.00000006,人民币,523000000.00000006,
光环新网,2010-12-01,B轮,,美元,,红杉中国
光环新网,2001-03-01,A轮,,人民币,,
鸿冠信息,,,,,,
山石网科,2019-09-30,IPO上市,949000000.0,人民币,949000000.0,
山石网科,2018-12-17,战略投资,,人民币,,"奇虎360,博彦科技,同心基金,嘉铭浩春,伟畅投资"
山石网科,2018-06-19,战略投资,,美元,,"北极光创投,国开金融,元禾原点,苏高新金控/苏高新创投,征和惠通,宜兴光控,聚坤投资"
山石网科,2016-04-13,E轮,,人民币,,"元禾控股,光大集团,国开金融"
山石网科,2015-05-28,D轮,,美元,,北极光创投
山石网科,2011-08-22,C轮,,美元,,"北极光创投,Vickers,银湖投资Silver Lake"
山石网科,2009-05-22,B轮,10000000.0,美元,63000000.0,"北极光创投,Vickers"
山石网科,2007-03-22,A轮,6000000.0,美元,37800000.0,"北极光创投,荷塘创投,奥迈资本"
威士顿,2023-06-21,IPO上市,710000000.0,人民币,710000000.0,
英方软件,2023-01-19,IPO上市,811999999.9999999,人民币,811999999.9999999,
英方软件,2020-12-15,战略投资,,人民币,,毅达资本
英方软件,2019-07-04,B+轮,,人民币,,海通开元
英方软件,2017-12-01,退市,,人民币,,
英方软件,2017-05-11,新三板定增,62400000.0,人民币,62400000.0,
英方软件,2016-05-25,新三板,,人民币,,
英方软件,2015-05-04,B轮,,人民币,,
英方软件,2014-06-04,A轮,,人民币,,好望角投资
杰创智能,2022-04-20,IPO上市,1001000000.0,人民币,1001000000.0,
优客工场,2020-11-18,IPO上市,,美元,,
