公司ID,公司简称,工商全称,统一信用代码,一句话简介,行业,子行业,省,市,地址,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资次数
32421143.0,路桥信息,厦门路桥信息股份有限公司,9135020070548149XE,一家交通行业信息化解决方案提供商,企业服务,行业信息化及解决方案,福建,厦门,厦门市软件园三期诚毅大街370号1801单元、1802单元、1803单元、1804单元,2001-07,运营中,25300.0,52300.0,76500.0,2.86,0.387198,501,2.0
32418066.0,盈趣科技,厦门盈趣科技股份有限公司,913502005750038518,民用物联网及工业互联网系统集成服务商,企业服务,其他企业服务,福建,厦门,福建省厦门市火炬高新园区嘉禾路588号,2011-05,运营中,188000.0,1025000.0,845000.0,70.61,12.73,4985,2.0
74529.0,普元信息,普元信息技术股份有限公司,91310000748756174J,软件基础平台与解决方案提供商,企业服务,行业信息化及解决方案,上海,浦东新区,中国(上海)自由贸易试验区碧波路456号4楼;上海市浦东新区中国(上海)自由贸易试验区碧波路456号4楼,2003-03,运营中,76300.0,381000.0,321000.0,4.25,-0.093981,1511,4.0
46560.0,博彦科技,博彦科技股份有限公司,911100001021132178,IT解决方案与服务提供商,企业服务,企业IT服务,北京,海淀区,北京市海淀区西北旺东路10号院东区7号楼博彦科技大厦,1995-04,运营中,68200.0,615000.0,275000.0,55.32,4.8,26487,2.0
46133.0,数据港,上海数据港股份有限公司,91310000697241508E,定制数据中心服务提供商,企业服务,数据服务,上海,静安区,上海市静安区江场三路250号9层901室;上海市静安区江场三路250号9层901室,2009-11,运营中,212300.0,839000.0,846000.0,12.45,1.56,422,3.0
45914.0,宝信软件,上海宝信软件股份有限公司,91310000607280598W,企业信息化解决方案供应商,企业服务,行业信息化及解决方案,上海,浦东新区,上海市浦东新区自由贸易试验区郭守敬路515号,1994-08,运营中,212300.0,7403000.0,7403000.0,129.16,28.2,5714,1.0
43491.0,博睿数据,北京博睿宏远数据科技股份有限公司,91110105672840619D,应用性能管理服务商,企业服务,数据服务,北京,东城区,北京市东城区东中街46号鸿基大厦4层,2008-02,运营中,75100.0,502200.0,365500.0,1.33,-0.925264,483,2.0
43479.0,软通动力,软通动力信息技术(集团)股份有限公司,91110108781703664R,IT服务及行业解决方案提供商,企业服务,企业IT服务,北京,海淀区,北京市海淀区西北旺东路10号院东区16号楼,2005-11,运营中,694200.0,3086700.0,2315000.0,191.04,10.08,60000,10.0
43247.0,兆日科技,深圳兆日科技股份有限公司,91440300748876299E,从事安全芯片及解决方案等商用密码产品,企业服务,企业安全,广东,深圳,广东省深圳市福田区车公庙深业泰然大厦C栋1605室,2003-04,运营中,61148.0,178000.0,150000.0,2.0,0.54111,680,5.0
43198.0,蓝色光标,北京蓝色光标数据科技股份有限公司,91110000744727456H,供品牌管理与营销服务商,企业服务,销售营销,北京,朝阳区,北京市朝阳区酒仙桥北路9号(厂区)10幢二层A5-01;北京市朝阳区酒仙桥北路9号(厂区)10幢二层A5-01,2002-11,运营中,247100.0,170600.0,150000.0,366.83,-22.74,2521,6.0
43177.0,网宿科技,网宿科技股份有限公司,91310000631658829P,提供全球范围内的内容分发与加速,企业服务,行业信息化及解决方案,上海,嘉定区,上海市嘉定区环城路200号,2000-01,运营中,692300.0,2916667.0,1750000.0,50.84,1.94,2846,7.0
43144.0,德必,上海德必文化创意产业发展(集团)股份有限公司,91310000572698184Q,一家文化创意产业发展服务商,企业服务,创业服务,上海,长宁区,中国上海市长宁区安化路492号长宁德必易园A座8楼,2011-04,运营中,134100.0,345000.0,345000.0,7.79,0.415002,461,6.0
42483.0,罗科仕,罗科仕科技(北京)股份有限公司,91110105562144225Q,招聘O2O平台,企业服务,人力资源,北京,朝阳区,北京市朝阳区新东路8号首开铂郡B1-025,2011-05,运营中,23900.0,19500.0,19500.0,0.480876,0.068066,77,3.0
41682.0,辰安科技,北京辰安科技股份有限公司,91110108783233053A,致力于公共安全和应急技术,企业服务,企业安全,北京,海淀区,北京市海淀区丰秀中路3号院1号楼,2005-11,运营中,86300.0,150000.0,150000.0,15.39,-1.59,1938,6.0
41663.0,东华软件,东华软件股份公司,911100007226188818,软件和信息系统解决方案提供商,企业服务,行业信息化及解决方案,北京,海淀区,北京市海淀区知春路紫金数码园东华合创大厦,2001-01,运营中,301900.0,720000.0,720000.0,118.33,4.11,10000,3.0
41034.0,顶点软件,福建顶点软件股份有限公司,91350000260188521B,行业应用解决方案供应商,企业服务,行业信息化及解决方案,福建,福州,福建省福州市软件大道89号福州软件园A区13号;福建省福州市软件大道89号福州软件园A区13号 ,2000-10,运营中,42100.0,200500.0,200500.0,6.25,1.74,1954,2.0
