公司ID,公司简称,工商全称,统一信用代码,一句话简介,行业,子行业,省,市,地址,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资次数
36851524.0,苏交科,苏交科集团股份有限公司,91320000741339087U,基础设施领域综合解决方案供应商,企业服务,行业信息化及解决方案,江苏,南京,江苏省南京市建邺区富春江东街8号,2002-08,运营中,20000.0,807000.0,50000.0,52.27,7.53,8000,2.0
36843780.0,华宇软件,北京华宇软件股份有限公司,91110000726360320G,电子政务领域软件及信息服务提供商,企业服务,行业信息化及解决方案,北京,海淀区,北京市海淀区中关村东路1号院清华科技园科技大厦C座25层,2001-06,运营中,206200.0,1803898.0,453500.0,22.22,10.63,4000,3.0
36843287.0,天泽信息,有棵树科技股份有限公司,9132000072058020XK,产业互联网IT服务提供商,企业服务,企业IT服务,江苏,南京,中国 南京 建邺区 云龙山路80号,2000-05,运营中,307800.0,280000.0,1489000.0,17.64,-27.26,4436,2.0
24217.0,兑吧,杭州兑吧网络科技有限公司,91330106574371572Y,用户运营服务平台,企业服务,企业IT服务,浙江,杭州,中国 南京 建邺区 云龙山路80号,2014-05,运营中,125760.0,533360.0,234800.0,11.62,0.35383,600,6.0
36610606.0,实朴检测,实朴检测技术(上海)股份有限公司,91310116671156516L,第三方检测集团,企业服务,科研和社会服务,上海,闵行区,上海市闵行区都会路2059号2幢2F306室、1F106室,2008-01,运营中,52630.0,191000.0,263150.0,3.51,-0.247219,1163,1.0
8855.0,鼎捷软件DigiwinSoft,鼎捷软件股份有限公司,91310000734084709Q,ERP企业管理软件与服务供应商,企业服务,企业IT服务,北京,海淀区,上海市静安区江场路1377弄1号楼22F,2001-12,运营中,118300.0,368664.0,280000.0,19.95,1.98,5500,2.0
36489925.0,瑞晟智能,浙江瑞晟智能科技股份有限公司,91330200698208670Y,数字化智能高端装备制造解决方案提供商,企业服务,行业信息化及解决方案,浙江,宁波,浙江省宁波市高新区晶辉路16号4楼,2009-12,运营中,54800.0,360300.0,174000.0,3.06,0.11756,630,3.0
31332.0,信雅达,信雅达科技股份有限公司,91330000253917765N,专注于自主产权软件的开发和应用服务,企业服务,法律服务,浙江,杭州,浙江省杭州市滨江区江南大道3888号信雅达科技大厦,1996-07,运营中,10000.0,545000.0,50000.0,15.37,4.02,8000,1.0
11684.0,迪信通,北京迪信通商贸股份有限公司,911100008029439243,移动通信终端销售和服务提供商,企业服务,销售营销,北京,朝阳区,浙江省杭州市滨江区江南大道3888号信雅达科技大厦,1993-01,运营中,74794.0,120000.0,85530.0,171.46,-6.61,20000,4.0
35407816.0,海联讯,杭州海联讯科技股份有限公司,914403007152459096,电力企业综合整体解决方案提供商,企业服务,企业IT服务,广东,深圳,深圳市南山区深南大道市高新技术园R2厂房B区3a层,2000-01,运营中,107260.0,245000.0,315500.0,2.58,0.21088,137,4.0
35287094.0,矩子科技,上海矩子科技股份有限公司,91310000667825748L,视觉检测设备研发商,企业服务,科研和社会服务,上海,闵行区,上海市闵行区中春路7001号明谷科技园E栋101-102室,2007-11,运营中,110100.0,471000.0,215000.0,6.84,1.49,844,5.0
35074118.0,浪潮信息,浪潮电子信息产业股份有限公司,91370000706266601D,计算平台与IT应用方案解决提供商,企业服务,企业IT服务,山东,济南,济南市浪潮路1036号,1998-10,运营中,50100.0,5793000.0,250500.0,695.25,21.6,30000,1.0
35000781.0,怡合达,东莞怡合达自动化股份有限公司,91441900566614589Q,工业自动化零部件采购平台,企业服务,行业信息化及解决方案,广东,东莞,东莞市虎门镇北栅东坊工业区,2010-12,运营中,80430.0,4500000.0,252150.0,18.03,4.64,2535,2.0
34999794.0,数字认证,北京数字认证股份有限公司,91110108722619411A,息安全解决方案提供商,企业服务,行业信息化及解决方案,北京,海淀区,北京市海淀区北四环西路68号1501号;北京市海淀区北四环西路68号1501号 ,2001-02,运营中,26600.0,576000.0,133000.0,9.72,-0.772415,1429,1.0
34998664.0,瑞特股份,常熟市国瑞科技股份有限公司,9132050062822013XT,船舶电系统集成解决方案提供商,企业服务,行业信息化及解决方案,江苏,苏州,常熟市虞山镇高新技术产业园青岛路2号,1993-02,运营中,36300.0,283000.0,171500.0,2.2,-3.17,1890,2.0
