公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
普路通,2016-03-01,IPO上市后,未透露,人民币,,东方富海
中达安,2017-03-31,IPO上市,2.63亿,人民币,,
海量数据,2019-12-31,IPO上市后,未透露,人民币,,川商发展
威星智能,2017-02-17,IPO上市,2.62亿,人民币,,
可立克,2020-09-17,IPO上市后,4.89亿,人民币,,"安信乾宏-安信证券,大岩资本"
熙菱信息,2017-01-05,IPO上市,1.24亿,人民币,,
国检集团,2016-11-09,IPO上市,5.52亿,人民币,,
科大国创,2019-12-11,IPO上市后,1.86亿,人民币,,"兴泰资本,兴泰金融"
维宏股份,2016-04-19,IPO上市,2.85亿,人民币,,
万兴科技,2018-01-18,IPO上市,3.31亿,人民币,,
莱伯泰科,2020-09-02,IPO上市,4.22亿,人民币,,
恒锋信息,2017-02-08,IPO上市,1.97亿,人民币,,
海联讯,2019-11-11,IPO上市后,6.31亿,人民币,,杭州金投
矩子科技,2023-08-25,IPO上市后,4.3亿,人民币,,
浪潮信息,2000-06-08,IPO上市,5.01亿,人民币,,
怡合达,2021-07-23,IPO上市,5.04亿,人民币,,
数字认证,2016-12-23,IPO上市,2.66亿,人民币,,
瑞特股份,2017-01-25,IPO上市,3.43亿,人民币,,
宝兰德软件,2019-12-31,IPO上市后,数亿,人民币,,"中信证券,时间投资"
威胜信息,2020-01-21,IPO上市,6.89亿,人民币,,
中国电器院,2019-11-05,IPO上市,9.4亿,人民币,,
天瑞仪器,2020-09-25,IPO上市后,1.44亿,人民币,,"海通证券,兴业证券"
迪威视讯,2011-01-25,IPO上市,5.7亿,人民币,,
中南e行,2020-09-21,IPO上市后,未透露,人民币,,财信金控
好运宝,1992-09-02,IPO上市,1.27亿,人民币,,
新城市,2019-05-10,IPO上市,5.47亿,人民币,,
赛迪顾问,2002-12-12,IPO上市,5225万,港元,,
蜂助手,2023-05-17,IPO上市,10.09亿,人民币,,
富通科技控股,2009-12-04,IPO上市,未透露,港元,,
中国赛特,2019-02-27,IPO上市后,未透露,港元,, 江苏凯盟
清科创业,2020-12-30,IPO上市,4.4亿,港元,,
先锋电子,2015-06-12,IPO上市,3.72亿,人民币,,
新大陆,2000-08-07,IPO上市,4.92亿,人民币,,
易标准,2022-01-07,IPO上市,5.16亿,人民币,,
明源云,2020-09-25,IPO上市,59亿,港元,,
大东方,2002-06-25,IPO上市,3.76亿,人民币,,
神州控股,2001-06-01,IPO上市,未透露,人民币,,
贝通信,2018-11-15,IPO上市,6.6亿,人民币,,
昆明机床,2018-05-22,退市,未透露,人民币,,
曙光数创,2022-11-18,IPO上市,2.28亿,人民币,,
蕾奥规划,2021-05-07,IPO上市,6.96亿,人民币,,
中科曙光,2014-11-06,IPO上市,未透露,人民币,,
国子软件,2023-08-23,IPO上市,2.33亿,人民币,,
华胜天成,2004-04-27,IPO上市,4.11亿,人民币,,
迈拓仪表,2021-06-07,IPO上市,4.51亿,人民币,,
新联电子,2011-02-11,IPO上市,7.1亿,人民币,,
高升控股,2000-04-27,IPO上市,2.43亿,人民币,,
华媒控股,1996-08-30,IPO上市,1.56亿,人民币,,
博瑞传播,1995-11-15,IPO上市,5076万,人民币,,
中昌数据,2000-12-07,IPO上市,3.42亿,人民币,,
深信服科技,2020-12-11,IPO上市后,8.88亿,人民币,,"腾讯投资,中金公司,嘉实投资-嘉实基金,高毅资产"
电子城,1993-05-24,IPO上市,未透露,人民币,,
思维列控,2019-01-04,IPO上市后,9.82亿,人民币,,
天海投资,1996-09-09,IPO上市,7134万,人民币,,
天纺标,2022-10-31,IPO上市,1.3亿,人民币,,
中软国际,2003-06-01,IPO上市,未透露,港元,,
时客网,2017-06-22,IPO上市,1350万,美元,,
彩讯股份,2018-03-23,IPO上市,2.87亿,人民币,,
龙运国际,2021-06-22,战略投资,700万,美元,,"LSQ,Elephas Global Master Fund"
步步高,2018-02-23,IPO上市后,未透露,人民币,,"腾讯投资,京东"
博思软件,2019-09-27,IPO上市后,4.5亿,人民币,,腾讯投资
三未信安,2022-12-02,IPO上市,15.1亿,人民币,,
三旺通信,2020-12-30,IPO上市,4.3亿,人民币,,
天永智能,2018-01-22,IPO上市,3.54亿,人民币,,
众诚科技,2022-09-23,IPO上市,1.12亿,人民币,,
路桥信息,2023-08-16,IPO上市,1.53亿,人民币,,
盈趣科技,2018-01-15,IPO上市,16.9亿,人民币,,
三维装备股份,2022-08-22,IPO上市,未透露,人民币,,
威派格,2019-02-22,IPO上市,2.43亿,人民币,,
广脉科技,2021-11-03,IPO上市,未透露,人民币,,
福昕软件,2020-09-08,IPO上市,28.7亿,人民币,,
捷安高科,2020-07-03,IPO上市,4.07亿,人民币,,
龙软科技,2019-12-30,IPO上市,3.82亿,人民币,,
华是科技,2022-03-07,IPO上市,6.31亿,人民币,,
佳缘科技,2022-01-17,IPO上市,9.95亿,人民币,,
国义招标,2021-08-18,IPO上市,未透露,人民币,,
国源科技,2020-07-27,IPO上市,未透露,人民币,,
经纬天地,2024-01-12,IPO上市,6267万,港元,,
